ID	clone	subclone
DNA_4N_5_S89	397	288
DNA_4N_6_S90	397	288
DNA_4N_7_S91	397	278
DNA_4N_8_S92	397	288
DNA_4N_9_S93	397	278
Mouse1_CD45._Primary_S21	0	0
Mouse1_CD45._Primary_S22	0	0
Mouse1_CD45._Primary_S23	0	0
Mouse1_CD45._Primary_S24	0	0
Mouse1_CD45._Primary_S25	0	0
Mouse1_CD45._Primary_S26	0	0
Mouse1_CD45._Primary_S27	0	0
Mouse1_CD45._Primary_S28	0	0
Mouse1_CD45._Primary_S29	0	0
Mouse1_CD45._Primary_S31	0	0
Mouse1_CD45._Primary_S32	0	0
Mouse1_CD45._Primary_S34	0	0
Mouse1_CD45._Primary_S35	0	0
Mouse1_CD45._Primary_S36	0	0
Mouse1_CD45._Primary_S37	0	0
Mouse1_CD45._Primary_S38	0	0
Mouse1_CD45._Primary_S39	0	0
Mouse1_CD45._Primary_S40	0	0
Mouse1_CD45._Primary_S41	0	0
Mouse1_CD45._Primary_S42	0	0
Mouse1_CD45._Primary_S43	0	0
Mouse1_EpCam.GFP._Primary_S10	397	295
Mouse1_EpCam.GFP._Primary_S11	397	288
Mouse1_EpCam.GFP._Primary_S12	397	333
Mouse1_EpCam.GFP._Primary_S13	397	0
Mouse1_EpCam.GFP._Primary_S14	397	295
Mouse1_EpCam.GFP._Primary_S15	397	333
Mouse1_EpCam.GFP._Primary_S16	397	288
Mouse1_EpCam.GFP._Primary_S17	397	333
Mouse1_EpCam.GFP._Primary_S18	397	288
Mouse1_EpCam.GFP._Primary_S20	397	288
Mouse1_GFP._Met_S13	397	288
Mouse1_GFP._Met_S14	397	288
Mouse1_GFP._Met_S15	397	288
Mouse1_GFP._Met_S16	397	288
Mouse1_GFP._Met_S17	397	288
Mouse1_GFP._Met_S18	397	288
Mouse1_GFP._Met_S19	397	288
Mouse1_GFP._Met_S20	397	278
Mouse1_GFP._Met_S21	397	278
Mouse1_GFP._Met_S22	397	288
Mouse1_GFP._Met_S27	397	288
Mouse1_GFP._Met_S28	397	288
Mouse1_GFP._Met_S29	397	288
Mouse1_GFP._Met_S30	397	288
Mouse1_GFP._Met_S31	397	295
Mouse1_GFP._Met_S32	397	288
Mouse1_GFP._Met_S33	397	288
Mouse1_GFP._Met_S34	397	288
Mouse1_GFP._Met_S35	397	288
Mouse1_GFP._Met_S36	397	288
Mouse1_GFP._Met_S37	397	288
Mouse1_GFP._Met_S38	397	0
Mouse1_GFP._Met_S39	397	288
Mouse1_GFP._Met_S40	397	288
Mouse1_GFP._Met_S41	397	288
Mouse1_GFP._Met_S42	397	288
Mouse1_GFP._Met_S44	397	288
Mouse1_GFP._Met_S45	397	288
Mouse1_GFP._Met_S46	397	288
Mouse1_GFP._Met_S47	397	0
Mouse1_GFP._Met_S48	397	288
Mouse1_GFP._Met_S49	397	278
Mouse1_GFP._Met_S51	397	288
Mouse1_GFP._Met_S52	397	288
Mouse1_GFP._Met_S53	397	288
Mouse1_GFP._Met_S54	397	288
Mouse1_GFP._Primary_S24	397	288
Mouse1_GFP._Primary_S25	397	333
Mouse1_GFP._Primary_S28	397	288
Mouse1_GFP._Primary_S29	397	333
Mouse1_GFP._Primary_S30	397	288
Mouse1_GFP._Primary_S31	397	288
Mouse1_GFP._Primary_S32	397	288
Mouse1_GFP._Primary_S36	397	295
Mouse1_GFP._Primary_S38	397	333
Mouse1_GFP._Primary_S39	397	288
Mouse1_GFP._Primary_S40	0	0
Mouse1_GFP._Primary_S41	397	278
Mouse1_GFP._Primary_S42	397	288
Mouse1_GFP._Primary_S43	397	333
Mouse1_GFP._Primary_S44	397	333
Mouse1_GFP._Primary_S46	397	333
Mouse1_GFP._Primary_S47	397	288
Mouse1_GFP._Primary_S48	397	333
Mouse1_GFP._Primary_S49	397	333
Mouse1_GFP._Primary_S50	397	288
Mouse1_GFP._Primary_S51	397	0
Mouse1_GFP._Primary_S53	397	333
Mouse1_GFP._Primary_S54	397	333
Mouse1_GFP._Primary_S55	397	333
Mouse1_GFP._Primary_S56	397	288
Mouse2_CD45.Primary_S16	0	0
Mouse2_CD45.Primary_S17	0	0
Mouse2_CD45.Primary_S19	0	0
Mouse2_CD45.Primary_S20	0	0
Mouse2_CD45.Primary_S21	0	0
Mouse2_CD45.Primary_S22	0	0
Mouse2_CD45.Primary_S23	0	0
Mouse2_CD45.Primary_S24	0	0
Mouse2_CD45.Primary_S25	0	0
Mouse2_CD45.Primary_S27	0	0
Mouse2_CD45.Primary_S28	397	0
Mouse2_CD45.Primary_S29	0	0
Mouse2_CD45.Primary_S30	0	0
Mouse2_CD45.Primary_S31	397	0
Mouse2_CD45.Primary_S32	397	0
Mouse2_CD45.Primary_S33	397	0
Mouse2_CD45.Primary_S34	397	0
Mouse2_CD45.Primary_S35	0	0
Mouse2_GFP._Primary_S01	397	288
Mouse2_GFP._Primary_S02	397	295
Mouse2_GFP._Primary_S07	397	0
Mouse2_GFP._Primary_S08	397	288
Mouse2_GFP._Primary_S28	397	295
Mouse2_GFP._Primary_S29	397	295
Mouse2_GFP._Primary_S30	397	300
Mouse2_GFP._Primary_S31	397	295
Mouse2_GFP._Primary_S32	397	295
Mouse2_GFP.EpCam.Primary_S13	397	333
Mouse2_GFP.EpCam.Primary_S15	397	0
Mouse2_GFP.EpCam.Primary_S42	397	288
Mouse2_GFP.EpCam.Primary_S43	397	333
Mouse2_GFP.EpCam.Primary_S45	397	333
Mouse2_GFP.EpCam.Primary_S46	397	300
Mouse2_GFP.EpCam.Primary_S47	397	0
Mouse2_GFP.EpCam.Primary_S48	397	288
Mouse2_GFP.KidneyMet_S30	397	295
Mouse2_GFP.KidneyMet_S32	397	0
Mouse2_GFP.KidneyMet_S33	397	0
Mouse2_GFP.KidneyMet_S34	397	0
Mouse2_GFP.KidneyMet_S35	397	295
Mouse2_GFP.KidneyMet_S36	397	0
Mouse2_GFP.KidneyMet_S37	397	288
Mouse2_GFP.KidneyMet_S38	397	295
Mouse2_GFP.KidneyMet_S39	397	295
Mouse2_GFP.KidneyMet_S40	397	0
Mouse2_GFP.KidneyMet_S41	397	0
Mouse2_GFP.KidneyMet_S42	397	333
Mouse2_GFP.KidneyMet_S43	397	0
Mouse2_GFP.KidneyMet_S44	397	0
Mouse2_GFP.KidneyMet_S45	397	0
Mouse2_GFP.KidneyMet_S46	397	0
Mouse2_GFP.KidneyMet_S47	397	0
Mouse2_GFP.KidneyMet_S48	397	288
Mouse2_GFP.KidneyMet_S49	397	0
Mouse2_GFP.KidneyMet_S50	397	288
Mouse2_GFP.KidneyMet_S51	397	288
Mouse2_GFP.LiverMet_S01	397	288
Mouse2_GFP.LiverMet_S11	397	288
Mouse2_GFP.LiverMet_S12	397	333
Mouse2_GFP.LiverMet5_S01	397	0
Mouse2_GFP.LiverMet9_S01	397	333
Mouse2_GFP.PeritoneumMet_S37	397	295
Mouse2_GFP.PeritoneumMet_S38	397	295
Mouse2_GFP.PeritoneumMet_S39	397	288
Mouse2_GFP.PeritoneumMet_S42	397	295
Mouse2_GFP.PeritoneumMet_S43	397	300
Mouse2_GFP.PeritoneumMet_S44	397	0
Mouse2_GFP.PeritoneumMet_S45	397	295
Mouse2_GFP.PeritoneumMet_S46	397	288
Mouse2_GFP.PeritoneumMet_S47	397	288
Mouse2_GFP.PeritoneumMet_S49	397	0
Mouse2_GFP.PeritoneumMet_S51	397	0
Mouse2_GFP.PeritoneumMet_S54	397	0
Mouse2_GFP.PeritoneumMet_S55	397	295
Mouse2_GFP.PeritoneumMet_S57	397	295
Mouse2_GFP.PeritoneumMet_S58	397	295
Mouse2_GFP.PeritoneumMet_S59	397	295
Mouse2_GFP.PeritoneumMet_S60	397	288
Mouse2_GFP.Primary_S15	397	0
Mouse2_GFP.Primary_S16	397	288
Mouse2_GFP.Primary_S18	397	288
Mouse2_GFP.Primary_S22	397	295
Mouse2_GFP.Primary_S23	397	295
Mouse2_GFP.Primary_S24	397	288
Mouse2_GFP.Primary_S25	397	0
Mouse2_GFP.SpleenMet_S10	397	288
Mouse2_GFP.SpleenMet_S11	397	295
Mouse2_GFP.SpleenMet_S15	397	295
Mouse2_GFP.SpleenMet_S17	397	0
Mouse2_GFP.SpleenMet_S18	397	295
Mouse2_GFP.SpleenMet_S19	397	295
Mouse2_GFP.SpleenMet_S20	397	300
Mouse2_GFP.SpleenMet_S22	397	0
Mouse2_GFP.SpleenMet_S23	397	295
Mouse2_GFP.SpleenMet_S24	397	295
Mouse2_GFP.SpleenMet_S25	397	295
Mouse2_GFP.SpleenMet_S26	397	300
Mouse2_GFP.SpleenMet_S27	397	295
Mouse2_GFP.SpleenMet_S28	397	295
Mouse2_GFP.SpleenMet_S29	397	0
Mouse3_CD45Primary_S63	0	0
Mouse3_CD45Primary_S65	0	0
Mouse3_CD45Primary_S66	397	0
Mouse3_CD45Primary_S67	0	0
Mouse3_CD45Primary_S68	0	0
Mouse3_CD45Primary_S69	397	0
Mouse3_CD45Primary_S70	397	0
Mouse3_CD45Primary_S76	0	0
Mouse3_CD45Primary_S77	0	0
Mouse3_CD45Primary_S79	0	0
Mouse3_CD45Primary_S80	397	0
Mouse3_CD45Primary_S81	0	0
Mouse3_CD45Primary_S82	0	0
Mouse3_GFP_Primary_S04	397	288
Mouse3_GFP_Primary_S05	397	295
Mouse3_GFP_Primary_S06	397	295
Mouse3_GFP_Primary_S07	397	295
Mouse3_GFP_Primary_S08	397	295
Mouse3_GFP_Primary_S09	397	295
Mouse3_GFP_Primary_S37	397	295
Mouse3_GFP_Primary_S38	397	295
Mouse3_GFP_Primary_S39	397	295
Mouse3_GFP_Primary_S40	397	288
Mouse3_GFP_Primary_S41	397	0
Mouse3_GFPEpCamPrimary_S52	397	0
Mouse3_GFPEpCamPrimary_S53	397	288
Mouse3_GFPEpCamPrimary_S54	397	0
Mouse3_GFPEpCamPrimary_S55	397	333
Mouse3_GFPEpCamPrimary_S56	397	333
Mouse3_GFPEpCamPrimary_S57	397	288
Mouse3_GFPEpCamPrimary_S58	397	333
Mouse3_GFPEpCamPrimary_S61	397	288
Mouse3_GFPEpCamPrimary_S62	397	295
Mouse3_GFPKidneyMet_S49	397	300
Mouse3_GFPKidneyMet_S50	397	300
Mouse3_GFPKidneyMet_S51	397	0
Mouse3_GFPKidneyMet_S52	397	288
Mouse3_GFPKidneyMet_S53	0	0
Mouse3_GFPKidneyMet_S54	397	0
Mouse3_GFPKidneyMet_S55	397	0
Mouse3_GFPKidneyMet_S56	397	0
Mouse3_GFPKidneyMet_S58	397	0
Mouse3_GFPKidneyMet_S60	397	0
Mouse3_GFPKidneyMet_S63	397	0
Mouse3_GFPKidneyMet_S64	0	0
Mouse3_GFPKidneyMet_S65	0	0
Mouse3_GFPKidneyMet_S66	397	288
Mouse3_GFPKidneyMet_S67	397	0
Mouse3_GFPKidneyMet_S68	397	0
Mouse3_GFPKidneyMet_S69	397	0
Mouse3_GFPKidneyMet_S70	397	288
Mouse3_GFPKidneyMet_S71	397	288
Mouse3_GFPKidneyMet_S72	397	0
Mouse3_GFPLiverMet_S01	397	300
Mouse3_GFPLiverMet_S02	397	0
Mouse3_GFPLiverMet_S06	397	0
Mouse3_GFPLiverMet_S08	397	333
Mouse3_GFPLiverMet_S09	397	0
Mouse3_GFPLiverMet_S10	397	0
Mouse3_GFPLiverMet_S11	397	288
Mouse3_GFPLiverMet_S12	397	0
Mouse3_GFPLiverMet_S24	397	0
Mouse3_GFPPeritoneumMet_S73	397	295
Mouse3_GFPPeritoneumMet_S74	397	295
Mouse3_GFPPeritoneumMet_S75	397	0
Mouse3_GFPPeritoneumMet_S76	397	295
Mouse3_GFPPeritoneumMet_S77	397	0
Mouse3_GFPPeritoneumMet_S78	397	288
Mouse3_GFPPeritoneumMet_S79	397	0
Mouse3_GFPPeritoneumMet_S81	397	288
Mouse3_GFPPeritoneumMet_S82	397	288
Mouse3_GFPPeritoneumMet_S83	397	0
Mouse3_GFPPeritoneumMet_S84	397	288
Mouse3_GFPPeritoneumMet_S85	397	295
Mouse3_GFPPeritoneumMet_S86	397	0
Mouse3_GFPPeritoneumMet_S88	0	0
Mouse3_GFPPeritoneumMet_S89	397	0
Mouse3_GFPPeritoneumMet_S90	397	288
Mouse3_GFPPeritoneumMet_S91	397	295
Mouse3_GFPPeritoneumMet_S92	0	0
Mouse3_GFPPeritoneumMet_S93	397	0
Mouse3_GFPPeritoneumMet_S94	397	288
Mouse3_GFPPeritoneumMet_S95	397	288
Mouse3_GFPPeritoneumMet_S96	397	288
Mouse3_GFPPrimary_S15	397	300
Mouse3_GFPPrimary_S16	397	295
Mouse3_GFPPrimary_S17	397	295
Mouse3_GFPPrimary_S18	397	0
Mouse3_GFPPrimary_S19	397	295
Mouse3_GFPPrimary_S20	397	0
Mouse3_GFPPrimary_S21	397	0
Mouse3_GFPPrimary_S25	397	0
Mouse3_GFPPrimary_S26	397	0
Mouse3_GFPPrimary_S27	397	295
Mouse3_GFPPrimary_S28	397	295
Mouse3_GFPPrimary_S29	397	295
Mouse3_GFPPrimary_S30	397	0
Mouse3_GFPPrimary_S31	397	288
Mouse3_GFPPrimary_S32	397	295
Mouse3_GFPSpleenMet_S29	397	295
Mouse3_GFPSpleenMet_S30	397	295
Mouse3_GFPSpleenMet_S31	397	295
Mouse3_GFPSpleenMet_S32	397	288
Mouse3_GFPSpleenMet_S33	397	0
Mouse3_GFPSpleenMet_S35	397	0
Mouse3_GFPSpleenMet_S36	397	0
Mouse3_GFPSpleenMet_S40	397	300
Mouse3_GFPSpleenMet_S41	397	288
Mouse3_GFPSpleenMet_S42	397	0
Mouse3_GFPSpleenMet_S43	397	288
Mouse3_GFPSpleenMet_S44	397	288
Mouse3_GFPSpleenMet_S45	397	288
Mouse3_GFPSpleenMet_S46	397	295
Mouse3_GFPSpleenMet_S47	397	0
Mouse3_GFPSpleenMet_S48	397	288
